,State,APC,PDP,LP,NNPP,centroid,longitude,latitude
0,Abia,8914,22676,327095,1239,POINT (7.509135766388907 5.451793684781704),7.509135766388907,5.451793684781704
1,Adamawa,182881,417611,105648,8006,POINT (12.444612745143328 9.344003181464618),12.444612745143328,9.344003181464618
2,Akwa Ibom,160620,214012,132683,7796,POINT (7.838176699323152 4.9122950988101435),7.838176699323152,4.9122950988101435
3,Anambra,5111,9036,584621,1967,POINT (6.930591543516774 6.2082209578903615),6.930591543516774,6.2082209578903615
4,Bauchi,316694,426607,27373,72103,POINT (9.988410053278884 10.775640403699034),9.988410053278884,10.775640403699034
5,Bayelsa,42572,68818,49975,540,POINT (6.105268248681996 4.767812970264091),6.105268248681996,4.767812970264091
6,Benue,310468,130081,308372,4740,POINT (8.758107693790368 7.324381316105764),8.758107693790368,7.324381316105764
7,Borno,252282,190921,7205,4626,POINT (13.126822442513363 11.7973378907917),13.126822442513363,11.7973378907917
8,Cross River,130520,95425,179917,1644,POINT (8.5813005140781 5.856440859359819),8.5813005140781,5.856440859359819
9,Delta,90183,161600,341866,3122,POINT (5.968216450772643 5.712264242842443),5.968216450772643,5.712264242842443
10,Ebonyi,42402,13503,259738,2661,POINT (8.002217203796125 6.265299302956315),8.002217203796125,6.265299302956315
11,Edo,144471,89585,331163,2743,POINT (5.904809714466932 6.624212401081951),5.904809714466932,6.624212401081951
12,Ekiti,201494,89554,11397,264,POINT (5.313143041810453 7.702917743977775),5.313143041810453,7.702917743977775
13,Enugu,4772,15749,428640,1808,POINT (7.421035139362747 6.534149086259272),7.421035139362747,6.534149086259272
14,Federal Capital Territory,90902,74194,281717,4517,POINT (7.1416819546643655 8.86141575674436),7.1416819546643655,8.86141575674436
15,Gombe,146977,319123,26160,10520,POINT (11.244600272868711 10.405373128915125),11.244600272868711,10.405373128915125
16,Imo,66406,30234,360495,1552,POINT (7.046854335892343 5.550265142196042),7.046854335892343,5.550265142196042
17,Jigawa,421390,386587,1889,98234,POINT (9.55048907743793 12.216098402090848),9.55048907743793,12.216098402090848
18,Kaduna,399293,554360,294494,92969,POINT (7.706192108293331 10.355476188621985),7.706192108293331,10.355476188621985
19,Kano,517341,131716,28513,997279,POINT (8.513338297990558 11.736130178604846),8.513338297990558,11.736130178604846
20,Katsina,482283,489045,6376,69386,POINT (7.630834127187225 12.37258024598984),7.630834127187225,12.37258024598984
21,Kebbi,248088,285175,10682,5038,POINT (4.5007047940687395 11.766240585753646),4.5007047940687395,11.766240585753646
22,Kogi,240751,145104,56217,4238,POINT (6.696041999377771 7.716356482692041),6.696041999377771,7.716356482692041
23,Kwara,263572,136909,31166,3142,POINT (4.372564825287789 8.982546250120881),4.372564825287789,8.982546250120881
24,Lagos,572606,75750,582454,8442,POINT (3.564947175724228 6.5270582210524895),3.564947175724228,6.5270582210524895
25,Nassarawa,172922,147093,191361,12715,POINT (8.187252579136592 8.498860987551296),8.187252579136592,8.498860987551296
26,Niger,375183,284898,80452,21836,POINT (5.6011636481729505 9.935978637389852),5.6011636481729505,9.935978637389852
27,Ogun,341554,123831,85829,2200,POINT (3.467048430007266 7.0017023116845065),3.467048430007266,7.0017023116845065
28,Ondo,369924,115463,44405,930,POINT (5.156999898627454 6.908721983392788),5.156999898627454,6.908721983392788
29,Osun,343945,354366,23283,713,POINT (4.536133449282456 7.534717061214932),4.536133449282456,7.534717061214932
30,Oyo,449884,182977,99110,4095,POINT (3.6188457394336098 8.14366402312511),3.6188457394336098,8.14366402312511
31,Plateau,307195,243808,466272,8869,POINT (9.547155074357812 9.20989531854985),9.547155074357812,9.20989531854985
32,Rivers,231591,88468,175071,1322,POINT (6.925185324046244 4.8604198541246335),6.925185324046244,4.8604198541246335
33,Sokoto,285444,288679,6568,1300,POINT (5.317572021275622 13.034913346571445),5.317572021275622,13.034913346571445
34,Taraba,135165,189017,146315,12818,POINT (10.829578328257544 8.033708539573109),10.829578328257544,8.033708539573109
35,Yobe,151459,198567,2406,18270,POINT (11.443025552464059 12.297321744841252),11.443025552464059,12.297321744841252
36,Zamfara,298396,193978,1660,4044,POINT (6.261731966259784 12.088472335216828),6.261731966259784,12.088472335216828
